"Name","Latitude","Longitude"
"JUDE2142",31.9603034482144,-104.900101632361
"JUDE256",31.9373470173149,-104.849502059457
"JUDE214",31.9250005049366,-104.838446592411
"JUDE221",31.9229233506837,-104.843972021042
"JUDE218",31.9296633475754,-104.844489585977
"JUDE219",31.9275339760784,-104.844323911005
"JUDE215",31.9266875029475,-104.838369592815
"JUDE2145",31.9618494214092,-104.892999016483
"JUDE220",31.9250246695833,-104.843333769252
"JUDE2101",31.9729868936213,-104.811585356897
"JUDE235",31.9224333947136,-104.841730291031
"JUDE20",31.8998534983466,-104.836174491327
"JUDE20",31.9007303351384,-104.837505465888
"JUDE20",31.9005495719983,-104.837251969166
"JUDE20",31.9010290835409,-104.838308690459
"JUDE20",31.9009118793086,-104.838372349171
"JUDE20",31.8997366083426,-104.836481387918
"JUDE20",31.9004599748241,-104.837738603731
"JUDE20",31.899447525593,-104.836185785826
"PIED144",31.9644843974133,-104.893705016929
"PIED155",31.9455506973656,-104.868248361059
"PIED71",31.9459564911785,-104.851709994981
"PIED20",31.9250246695833,-104.843333769252
"PIED145",31.9618494214092,-104.892999016483
"PIED57",31.9437704271788,-104.865425894762
"PIED87",31.9448325969784,-104.871815071848
"PIPO28",31.9165942908335,-104.833172570764
"PIPO132",31.9705183357898,-104.801980489062
"PIPO148",31.9474552999542,-104.878276404801
"PIPO58",31.9424570173841,-104.860571406421
"PIPO15",31.9266875029475,-104.838369592815
"PIPO14",31.9250005049366,-104.838446592411
"PIPO87",31.9448325969784,-104.871815071848
"PIPO18",31.9296633475754,-104.844489585977
"PIPO1",31.9307627043582,-104.843419251033
"PIPO104",31.973764679842,-104.806852731256
"PIPO141",31.9384059533885,-104.877865135486
"PIPO49",31.9529340500022,-104.847180445324
"PIPO19",31.9275339760784,-104.844323911005
"PIST3139",31.9358421719408,-104.876249840358
"PIST346",31.9221522192901,-104.833501036651
"PIST37",31.9252375873872,-104.840434920942
"PIST310",31.9195731380517,-104.827624442818
"PIST3141",31.9384059533885,-104.877865135486
"PIST3152",31.9492623572451,-104.863185261279
"PIST335",31.9224333947136,-104.841730291031
"QUGA156",31.9442793691945,-104.868980237003
"QUGA153",31.9485883050763,-104.865609332174
"QUGA3",31.925032356279,-104.842254759664
"QUGA34",31.9209980160095,-104.841013449543
"QUGA141",31.9384059533885,-104.877865135486
"QUGA49",31.9529340500022,-104.847180445324
"QUGA8",31.9128190881175,-104.830122631312
"QUGA51",31.9517259480202,-104.847870240048
"QUGA152",31.9492623572451,-104.863185261279
"QUGA35",31.9224333947136,-104.841730291031
"QUGA2",31.9279632960005,-104.841308248702
"QUGA104",31.973764679842,-104.806852731256
"QUGR3G141",31.8989369432303,-104.832083430901
"QUGR3g125",31.9011739448803,-104.838710312564
"QUGR3G121",31.9004599748241,-104.837738603731
"QUGR3G123",31.9005495719983,-104.837251969166
"QUGR3g124",31.9009118793086,-104.838372349171
"QUGR3G140",31.8984134063004,-104.831883449624
"QUGR3G122",31.9007303351384,-104.837505465888
"QUGR3g127",31.9010290835409,-104.838308690459
"QUGR3g134",31.8996787018625,-104.833573229105
"QUGR3G139",31.8987295508398,-104.832168410469
"QUGR3g135",31.8996691947207,-104.83320310393
"QUGR3g129",31.9012329091247,-104.835442326663
"QUGR3g126",31.9010290835409,-104.838308690459
